City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Ewa Beach,US,2022-04-12 18:34:07,21.3156,-158.0072,80.55,70,0,8.05
173,Gurupi,BR,2022-04-12 18:31:22,-11.7292,-49.0686,90.23,51,41,2.64
174,Saskylakh,RU,2022-04-12 18:34:08,71.9167,114.0833,-12.78,100,94,3.65
175,Arraial Do Cabo,BR,2022-04-12 18:34:08,-22.9661,-42.0278,84.16,70,0,16.11
176,Saint-Francois,FR,2022-04-12 18:34:08,46.4154,3.9054,60.24,51,0,3.44
177,Port Blair,IN,2022-04-12 18:31:52,11.6667,92.75,80.64,89,20,0.0
178,Ixtapa,MX,2022-04-12 18:34:09,20.7,-105.2,79.83,69,75,10.36
179,Great Yarmouth,GB,2022-04-12 18:34:09,52.6083,1.7305,62.42,86,100,10.49
180,Mareeba,AU,2022-04-12 18:34:10,-17.0,145.4333,72.32,97,100,2.37
181,Port Macquarie,AU,2022-04-12 18:35:10,-31.4333,152.9167,62.49,100,75,4.61
182,Nosy Varika,MG,2022-04-12 18:35:11,-20.5833,48.5333,75.47,83,98,3.0
183,Binzhou,CN,2022-04-12 18:35:11,37.3667,118.0167,48.72,43,100,5.82
184,Lata,PT,2022-04-12 18:35:11,40.1629,-8.3327,51.51,83,8,4.23
185,Okhotsk,RU,2022-04-12 18:32:12,59.3833,143.3,5.65,90,87,9.4
186,Fernandina Beach,US,2022-04-12 18:35:12,30.6697,-81.4626,83.01,63,0,13.8
187,Nouakchott,MR,2022-04-12 18:35:13,18.0858,-15.9785,75.13,67,34,16.15
188,Hambantota,LK,2022-04-12 18:35:13,6.1241,81.1185,75.54,100,20,0.0
189,Samarai,PG,2022-04-12 18:35:14,-10.6167,150.6667,82.72,76,96,9.8
190,Ovalle,CL,2022-04-12 18:30:55,-30.5983,-71.2003,75.69,32,7,4.83
191,Juneau,US,2022-04-12 18:35:15,58.3019,-134.4197,35.22,39,20,20.71
192,Springbok,ZA,2022-04-12 18:35:15,-29.6643,17.8865,66.56,41,1,2.66
193,Tarauaca,BR,2022-04-12 18:33:04,-8.1614,-70.7656,85.64,74,72,2.75
194,Ngunguru,NZ,2022-04-12 18:35:16,-35.6167,174.5,62.44,78,100,19.93
195,Stromness,GB,2022-04-12 18:35:16,58.965,-3.296,44.56,85,100,18.99
196,Muisne,EC,2022-04-12 18:35:16,0.6,-80.0333,79.12,81,94,12.37
197,Saint-Augustin,CA,2022-04-12 18:35:17,51.226,-58.6502,36.36,100,83,5.82
198,Andilamena,MG,2022-04-12 18:35:18,-17.0167,48.5833,64.56,92,100,8.32
199,Kalmunai,LK,2022-04-12 18:35:18,7.4167,81.8167,79.25,87,100,8.01
200,Kidodi,TZ,2022-04-12 18:35:19,-7.6036,37.0044,71.51,97,100,2.19
201,Severo-Kurilsk,RU,2022-04-12 18:32:16,50.6789,156.125,25.74,84,97,3.98
